"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-12","0.00","64","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-13","0.00","64","76","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-14","0.00","62","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-15","0.00","62","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-16","0.00","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-17","0.00","62","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-18","0.00","65","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-19","0.00","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-20","0.00","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-21","0.00","60","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-22","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-23","0.00","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-24","0.00","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-25","0.00","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-26","0.00","65",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-27","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-28","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-29","0.00","66",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-30","0.00","71",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-01","0.00","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-02","0.00","68",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-03","0.00","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-04","0.00","68",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-05","0.00","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-06","0.00","72",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-07","0.00","74",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-08","0.00","68",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-09","0.00","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-10","0.00","70",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-11","0.00","70",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-12","0.00","63","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-13","0.00","65","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-14","0.00","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-15","0.00","60","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-16","0.00","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-17","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-18","0.00","61","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-19","0.00","62","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-20","0.00","63","83","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-21","0.00","66","75","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-22","0.00","64","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-23","0.00","62","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-24","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-25","0.00","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-26","0.00","59","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-27","0.00","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-28","0.00","58","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-29","0.00","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-30","0.00","58","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-31","0.00","58","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-01","0.00","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-02","0.00","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-03","0.00","61","72","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-04","0.00","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-05","0.00","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-06","0.00","60","73","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-07","0.00","58","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-08","0.00","59","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-09","0.00","60","79","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-10","0.00","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-11","0.00","64","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-12","0.00","63","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-13","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-14","0.00","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-15","0.00","63","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-16","0.00","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-17","0.00","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-18","0.00","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-19","0.00","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-20","0.00","60","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-21","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-22","0.00","63","72","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-23","0.00","63","70","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-24","0.00","63","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-25","0.00","60","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-26","0.00","60","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-27","0.00","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-28","0.00","62","68","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-29","0.00","65","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-30","0.00","65","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-31","0.00","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-01","0.00","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-02","0.00","60","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-03","0.00","60","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-04","0.00","61","70","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-05","0.00","61","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-06","0.00","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-07","0.00","59","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-08","0.00","61","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09-09","0.00","62","73","52"
